arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,wall_s
presets.pp_background.b0,6ba731f2e58540718dc8e01ac05d5dd0,96,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.pp_background.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_background,False,49.4,True,92.04,81.64,energy_j_timestamped,invocation_incl_setup,41200.0,0x3F,presets,1500000.0,1500000.0,1532000.0,1421057.1,1.599,0,0,36,True,5,False,False,10105.38,10047.82,out/presets_kai/telemetry/presets.pp_background.b0.csv,35,pp,6,2560,31.357,8.881,77.806,73.094,67.411,5,68.615,77.496,False,False,True,57.56
presets.pp_balanced.b0,07d8b98968de451e9a653a7df5ce4bd9,96,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.pp_balanced.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_balanced,False,52.2,True,94.76,85.66,energy_j_timestamped,invocation_incl_setup,40200.0,0xCF,presets,1500000.0,1458823.5,1532000.0,1532000.0,2.084,0,0,18,True,5,False,False,10421.45,10375.98,out/presets_kai/telemetry/presets.pp_balanced.b0.csv,17,pp,6,2560,29.886,4.363,90.874,89.24,66.122,5,86.109,90.472,False,False,True,45.47
presets.pp_throughput.b0,6b3d2b05f0a0457b88b42bfe6ed9baf8,96,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.pp_throughput.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_throughput,False,56.2,True,100.04,89.47,energy_j_timestamped,invocation_incl_setup,37000.0,free,presets,1500000.0,1500000.0,1532000.0,1532000.0,2.13,0,0,18,True,5,False,False,10215.61,10168.65,out/presets_kai/telemetry/presets.pp_throughput.b0.csv,17,pp,8,2560,28.613,22.904,89.198,82.401,53.899,5,65.48,88.385,False,False,True,46.96
presets.tg_background.b0,d4dfb67dbc5c4c8fbfffa8717bc3262c,96,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.tg_background.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,tg_background,False,51.9,True,88.07,85.41,energy_j_timestamped,invocation_incl_setup,40400.0,0x3F,presets,1500000.0,1500000.0,1532000.0,1392322.6,1.704,0,0,32,True,5,False,False,10321.47,10269.79,out/presets_kai/telemetry/presets.tg_background.b0.csv,31,tg,4,640,7.493,0.385,16.144,16.054,15.693,5,15.695,16.08,False,False,True,51.68
presets.tg_balanced.b0,e8e96b6a60344c199b67eec77f3dc7df,97,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.tg_balanced.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,tg_balanced,False,48.3,True,138.54,122.66,energy_j_timestamped,invocation_incl_setup,39400.0,0xCF,presets,1500000.0,1274933.3,1532000.0,1532000.0,2.291,0,0,16,True,5,False,False,9334.54,9274.08,out/presets_kai/telemetry/presets.tg_balanced.b0.csv,15,tg,4,640,5.218,4.863,18.66,13.633,12.805,5,13.268,18.131,False,False,True,60.46
presets.tg_default.b0,e206d8a7d93f48f78d09c6deb445bb79,97,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.tg_default.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,79000.0,tg_default,False,47.9,True,945.57,935.3,energy_j_timestamped,invocation_incl_setup,39900.0,free,presets,1500000.0,1491801.1,1532000.0,1531043.0,1.837,0,0,187,True,5,False,False,9899.36,9384.67,out/presets_kai/telemetry/presets.tg_default.b0.csv,186,tg,8,640,0.684,0.383,1.934,1.6,1.388,5,1.45,1.832,False,False,True,514.69
presets.tg_throughput.b0,2cda218963c04128b1b1f3ec2a550ea3,96,Discharging,Discharging,out/presets_kai/bench_json/bench_presets.tg_throughput.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,tg_throughput,False,51.2,True,98.22,89.06,energy_j_timestamped,invocation_incl_setup,41000.0,free,presets,1500000.0,1419058.8,1532000.0,1526764.7,2.299,0,0,18,True,5,False,False,9996.14,9953.42,out/presets_kai/telemetry/presets.tg_throughput.b0.csv,17,tg,4,640,7.186,0.34,18.248,18.071,16.551,5,17.895,18.235,False,False,True,42.72
